date,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,temperature_2m_max,temperature_2m_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,soil_moisture_0_to_100cm_mean,soil_moisture_0_to_7cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_7_to_28cm_mean,soil_temperature_0_to_100cm_mean,soil_temperature_0_to_7cm_mean,soil_temperature_28_to_100cm_mean,soil_temperature_7_to_28cm_mean,wet_bulb_temperature_2m_mean,wet_bulb_temperature_2m_max,wet_bulb_temperature_2m_min,vapour_pressure_deficit_max,surface_pressure_mean,surface_pressure_max,surface_pressure_min,winddirection_10m_dominant,wind_gusts_10m_max,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,pressure_msl_min,pressure_msl_max,pressure_msl_mean,snowfall_water_equivalent_sum,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,et0_fao_evapotranspiration_sum,dew_point_2m_min,dew_point_2m_max,dew_point_2m_mean,cloud_cover_mean,cloud_cover_max,cloud_cover_min,river_discharge,location
2000-01-01 00:00:00+07:00,20.185,28.120476,34.25642,22.199337,32.285,26.280836,40476.51,37757.004,0.0,0.0,0.0,0.0,10.233123,18.700802,19.08,4.5250807,0.32482,0.22862506,0.35012498,0.270125,24.919481,27.089167,24.399576,25.978745,20.533012,22.235445,18.533638,2.9143293,1008.7846,1011.03394,1005.8724,18.700802,26.28,16.935,7.688948,9.72,5.5887027,1007.9,1013.1,1010.8582,0.0,86.636665,38.837494,61.50067,4.5250807,16.285,18.935,17.639166,6.75,39.0,0.0,983.01117,ChaoPhraya_Dam
2000-01-02 00:00:00+07:00,21.135,28.361704,34.195164,22.903177,32.285,26.710001,40488.793,37771.227,0.0,0.0,0.0,0.0,13.905509,50.100903,18.13,4.562236,0.32284757,0.22762506,0.34804168,0.2682084,25.248894,27.343332,24.6975,26.441248,20.711483,22.235445,19.034348,2.9369226,1008.6877,1011.6331,1005.97156,50.100903,31.68,18.960001,8.825869,9.0,5.6920996,1008.0,1013.7,1010.75824,0.0,85.91708,38.96135,60.21298,4.562236,16.335,19.085,17.645414,28.333334,48.0,0.0,978.48987,ChaoPhraya_Dam
2000-01-03 00:00:00+07:00,24.484999,29.321571,34.660767,25.387672,32.285,27.420412,40502.3,28897.67,0.0,0.0,0.0,0.0,14.578888,44.222363,15.56,4.10376,0.32100412,0.22666663,0.34599996,0.26674992,25.663378,28.11,25.012083,27.080833,21.099068,22.73659,19.70266,2.7956378,1008.2769,1010.9326,1005.4675,44.222363,32.039997,18.044998,7.962436,9.36,3.5455887,1007.5,1013.0,1010.34174,0.0,70.222824,42.10818,57.246998,4.10376,16.984999,19.185,17.955833,61.291668,100.0,2.0,973.9898,ChaoPhraya_Dam
2000-01-04 00:00:00+07:00,21.435,29.793747,36.256466,24.177505,32.985,27.287079,40517.0,37777.688,0.0,0.0,0.0,0.0,7.754637,18.030352,17.22,4.026932,0.3192538,0.22599997,0.3440833,0.2652083,25.922106,28.207916,25.312082,27.251665,21.423529,22.792492,19.908379,3.0942776,1007.7644,1010.2445,1005.17816,18.030352,22.319998,13.830001,5.6621137,8.28,3.6,1007.2,1012.3,1009.82916,0.0,87.84168,37.95845,61.626205,4.026932,16.635,19.835,18.522501,13.166667,69.0,0.0,969.50995,ChaoPhraya_Dam
2000-01-05 00:00:00+07:00,21.185,30.40436,37.365543,24.06246,33.385002,27.435003,40532.87,37821.953,0.0,0.0,0.0,0.0,6.696387,359.80377,19.02,4.214195,0.31747466,0.22545828,0.3420417,0.26391664,26.236458,28.718332,25.593332,27.614164,21.83944,23.426323,19.976786,3.0582256,1007.71967,1010.44635,1004.9786,359.80377,17.28,12.18,4.9264235,8.28,2.52,1007.0,1012.5,1009.7834,0.0,90.31435,40.420082,63.492496,4.214195,17.835,20.435,19.157915,7.1666665,35.0,0.0,658.1739,ChaoPhraya_Dam
2000-01-06 00:00:00+07:00,22.335,31.866407,38.203888,25.869535,33.935,28.372498,40549.867,37841.418,0.0,0.0,0.0,0.0,7.5942073,207.26936,18.93,4.1313753,0.3155758,0.22458331,0.3399999,0.26216674,26.566065,29.141249,25.878746,28.064165,22.479536,23.831738,20.800291,3.1655898,1007.3062,1009.95013,1004.68555,207.26936,17.64,10.1849985,3.1319087,2.52,0.8049845,1006.7,1012.0,1009.3626,0.0,87.91912,39.814217,61.798878,4.1313753,18.035,21.234999,19.712084,17.625,77.0,0.0,264.46057,ChaoPhraya_Dam
2000-01-07 00:00:00+07:00,23.285,31.033781,36.491215,26.14332,33.185,28.21,40567.96,37862.11,0.0,0.0,0.0,0.0,10.137692,182.68163,16.81,4.082475,0.3136725,0.22399999,0.33787498,0.2605834,26.83729,29.195414,26.162079,28.36625,22.389482,23.668581,20.876934,2.9414392,1007.85406,1009.9474,1005.176,182.68163,25.919998,15.645003,6.8886247,9.0,2.8116899,1007.2,1012.0,1009.91235,0.0,84.81228,42.088264,61.68384,4.082475,18.535,21.435,19.670414,22.833334,46.0,4.0,89.573265,ChaoPhraya_Dam
2000-01-08 00:00:00+07:00,23.885,31.303946,35.779182,27.28987,32.885002,28.162085,40587.117,37883.973,0.0,0.0,0.0,0.0,8.64,188.95802,17.33,4.120193,0.31213284,0.22429164,0.336,0.25958326,27.082146,29.424578,26.424576,28.555834,22.733858,23.922018,21.750467,2.7539635,1008.0201,1010.54266,1005.07526,188.95802,24.119999,15.435001,6.7021594,8.64,4.5820518,1007.1,1012.6,1010.0791,0.0,84.87536,44.7021,63.940754,4.120193,18.885,21.734999,20.26,55.958332,87.0,8.0,22.44229,ChaoPhraya_Dam
2000-01-09 00:00:00+07:00,23.935,32.09055,37.4604,28.111843,32.735,28.322502,40607.31,37906.97,0.0,0.0,0.0,0.0,9.3669195,177.73958,17.36,3.9423158,0.3105283,0.22420831,0.3340834,0.25854164,27.344938,29.822496,26.672493,28.824585,23.311613,24.665855,22.122913,2.5260832,1007.9338,1010.7425,1005.37335,177.73958,21.96,14.534998,5.63501,7.5599995,2.9024127,1007.4,1012.8,1009.9915,0.0,88.32422,48.699627,66.450935,3.9423158,20.335,22.234999,21.132914,62.208332,93.0,6.0,5.5313053,ChaoPhraya_Dam
2000-01-10 00:00:00+07:00,23.585,32.015102,38.09351,27.303045,33.485,28.157913,40628.5,37931.055,0.0,0.0,0.0,0.0,7.4128532,179.53981,17.91,3.992697,0.30896965,0.22508328,0.33212492,0.25754163,27.559546,29.864166,26.909996,29.018333,23.25276,24.863514,21.75654,2.731968,1007.3049,1009.64825,1005.18066,179.53981,21.96,13.500001,5.1623483,6.8399997,2.2768397,1007.2,1011.7,1009.3625,0.0,85.89303,46.20586,67.27055,3.992697,20.085,22.135,21.126667,23.708334,47.0,3.0,5.486344,ChaoPhraya_Dam
